publish_date,sentiment_polarity,Date,sentiment_subjectivity
{'$date': '2017-03-29T00:00:00.000+0000'},0.01112313612313613,2017-03-29,0.3677248677248676
{'$date': '2017-03-28T13:28:00.000+0000'},0.02992063492063492,2017-03-28,0.4376388888888889
{'$date': '2016-12-27T14:35:51.000+0000'},0.05632275132275133,2016-12-27,0.4204695767195767
{'$date': '2016-12-14T00:00:00.000+0000'},0.1642451298701299,2016-12-14,0.4387536075036076
{'$date': '2017-03-21T09:49:16.000+0000'},0.07308267863823419,2017-03-21,0.4561260755705201
{'$date': '2017-03-23T00:00:00.000+0000'},0.108266835016835,2017-03-23,0.5031548821548822
{'$date': '2017-01-10T00:00:00.000+0000'},0,2017-01-10,0
{'$date': '2016-12-06T00:00:00.000+0000'},0.08456439393939394,2016-12-06,0.2482007575757576
{'$date': '2016-12-05T00:00:00.000+0000'},0.1243371212121212,2016-12-05,0.3557765151515151
{'$date': '2017-03-24T00:00:00.000+0000'},0.08666105499438832,2017-03-24,0.4170229276895943
{'$date': '2016-12-12T00:00:00.000+0000'},0.0916331684188827,2016-12-12,0.4068729385693671
{'$date': '2016-12-13T14:27:00.000+0000'},0.0868154761904762,2016-12-13,0.4942857142857142
{'$date': '2016-12-11T18:29:49.000+0000'},0.1686480186480186,2016-12-11,0.5100233100233099
{'$date': '2017-03-29T00:00:00.000+0000'},0.1708743276925095,2017-03-29,0.5000524727797454
{'$date': '2017-01-13T00:00:00.000+0000'},0.01301075268817204,2017-01-13,0.2791551459293394
{'$date': '2017-03-02T00:00:00.000+0000'},0.116456358956359,2017-03-02,0.5389937989937991
{'$date': '2017-03-15T12:31:00.000+0000'},0.1559506261712144,2017-03-15,0.4561781029428087
{'$date': '2017-01-23T00:00:00.000+0000'},0.06666666666666667,2017-01-23,0.4333333333333333
{'$date': '2016-12-15T00:00:00.000+0000'},0.0857415417915418,2016-12-15,0.4555459207459207
{'$date': '2017-03-28T00:00:00.000+0000'},0.05251763668430335,2017-03-28,0.4343430335097002
{'$date': '2017-01-17T00:00:00.000+0000'},0.2105306762203314,2017-01-17,0.4927951933124347
{'$date': '2017-03-13T00:00:00.000+0000'},0.06799549549549551,2017-03-13,0.3689414414414414
{'$date': '2017-01-26T00:00:00.000+0000'},0.001726190476190479,2017-01-26,0.3197619047619048
{'$date': '2017-01-26T00:00:00.000+0000'},0.1296614796614797,2017-01-26,0.34509282009282
{'$date': '2017-03-24T00:00:00.000+0000'},0.06406862745098041,2017-03-24,0.3425490196078431
{'$date': '2017-01-09T00:00:00.000+0000'},0.07455978705978704,2017-01-09,0.4014020514020514
{'$date': '2017-03-13T13:04:07.000+0000'},0.1130634071810542,2017-03-13,0.5554214413037941
{'$date': '2017-03-24T00:00:00.000+0000'},0.06807291666666668,2017-03-24,0.3569270833333333
{'$date': '2017-01-30T00:00:00.000+0000'},0.1226668250448738,2017-01-30,0.5039784605638264
{'$date': '2017-01-30T19:13:23.000+0000'},0.1636897259574251,2017-01-30,0.4770542019435824
{'$date': '2016-12-09T00:00:00.000+0000'},0.1801717171717172,2016-12-09,0.4877301587301587
{'$date': '2017-01-27T00:00:00.000+0000'},0.05446428571428571,2017-01-27,0.244757326007326
{'$date': '2016-12-08T04:33:17.000+0000'},0.1194739808802309,2016-12-08,0.3741251803751804
{'$date': '2017-03-23T00:00:00.000+0000'},0.09547979797979793,2017-03-23,0.3074084595959596
{'$date': '2016-12-23T00:00:00.000+0000'},0.1304315476190476,2016-12-23,0.500077947845805
{'$date': '2017-03-02T00:00:00.000+0000'},0.07813131313131313,2017-03-02,0.3317171717171717
{'$date': '2017-01-04T00:00:00.000+0000'},0.1388888888888889,2017-01-04,0.2
{'$date': '2016-12-09T00:00:00.000+0000'},0.06463068181818182,2016-12-09,0.4336647727272726
{'$date': '2016-12-09T00:00:00.000+0000'},0,2016-12-09,0
{'$date': '2017-03-29T18:38:46.000+0000'},0.04436069882498454,2017-03-29,0.3717210368996083
{'$date': '2016-12-02T00:00:00.000+0000'},0.1040858353116418,2016-12-02,0.4362881348042638
{'$date': '2016-12-13T14:34:58.000+0000'},0.07874579124579123,2016-12-13,0.330155723905724
{'$date': '2016-12-13T04:50:00.000+0000'},0.1177717652717653,2016-12-13,0.3891902267828193
{'$date': '2017-03-27T00:00:00.000+0000'},0.09475560802833528,2017-03-27,0.3849822904368358
{'$date': '2016-12-20T00:00:00.000+0000'},0.1413862024500323,2016-12-20,0.4788652482269505
{'$date': '2017-02-28T00:00:00.000+0000'},0.1115353780523684,2017-02-28,0.4057118165006511
{'$date': '2017-03-28T00:00:00.000+0000'},0.04868149580915539,2017-03-28,0.4165506125080593
{'$date': '2017-01-05T17:01:37.000+0000'},0.09777268862090291,2017-01-05,0.5060180890538034
{'$date': '2017-01-05T06:47:57.000+0000'},0.1374289772727273,2017-01-05,0.3764001623376624
{'$date': '2016-12-29T00:00:00.000+0000'},0.1197169398062255,2016-12-29,0.3963377396413109
{'$date': '2017-02-28T00:00:00.000+0000'},0.0008139430014430047,2017-02-28,0.3926181457431456
{'$date': '2017-01-30T00:00:00.000+0000'},0.04375000000000001,2017-01-30,0.3673076923076923
{'$date': '2017-01-02T12:50:09.000+0000'},0.1705172718438024,2017-01-02,0.4864343139853343
{'$date': '2016-12-03T00:00:00.000+0000'},0.03032270759543487,2016-12-03,0.4065590974681884
