publish_date,sentiment_subjectivity,sentiment_polarity,Date
{'$date': '2016-04-20T00:00:00.000+0000'},0.4623941798941799,0.1317736892736893,2016-04-20
{'$date': '2016-02-12T00:00:00.000+0000'},0.5162645120031484,0.1708989243080153,2016-02-12
{'$date': '2016-02-28T00:00:00.000+0000'},0.453763343281977,0.157112563075296,2016-02-28
{'$date': '2016-03-17T00:00:00.000+0000'},0.3609553872053872,0.01356902356902357,2016-03-17
{'$date': '2016-05-12T23:42:16.000+0000'},0.5884018759018758,0.159469696969697,2016-05-12
{'$date': '2016-06-17T09:15:00.000+0000'},0.4627828678763257,0.1522950630193621,2016-06-17
{'$date': '2016-04-27T00:00:00.000+0000'},0.5279639936782794,0.1776802033944891,2016-04-27
{'$date': '2016-06-24T05:55:00.000+0000'},0.5009848484848486,0.1935858585858586,2016-06-24
{'$date': '2016-05-20T00:00:00.000+0000'},0.4655426444900129,0.05941451640464801,2016-05-20
{'$date': '2016-06-29T00:00:00.000+0000'},0.595,0.1626666666666667,2016-06-29
{'$date': '2016-07-12T00:00:00.000+0000'},0.5456709956709958,0.07229437229437229,2016-07-12
{'$date': '2016-05-20T00:00:00.000+0000'},0.3905505952380952,0.2367931547619047,2016-05-20
{'$date': '2016-06-29T00:00:00.000+0000'},0.5265770562770562,0.1055860930735931,2016-06-29
{'$date': '2016-07-21T00:00:00.000+0000'},0.4391727837380012,-0.02528232636928289,2016-07-21
{'$date': '2016-06-08T00:00:00.000+0000'},0.5321608946608948,0.2440927128427128,2016-06-08
{'$date': '2016-10-30T00:00:00.000+0000'},0.2586996336996337,0.0652930402930403,2016-10-30
{'$date': '2017-01-10T15:59:00.900+0000'},0.488915464165464,0.1316590307840308,2017-01-10
{'$date': '2017-01-29T00:00:00.000+0000'},0.4435437369647897,0.1195374800637959,2017-01-29
{'$date': '2017-02-06T00:00:00.000+0000'},0.4651515151515151,0.06658249158249159,2017-02-06
{'$date': '2016-08-07T00:00:00.000+0000'},0.4189551517971715,0.09200632429459792,2016-08-07
{'$date': '2016-06-16T00:00:00.000+0000'},0.3623376623376623,0.1897727272727273,2016-06-16
{'$date': '2017-01-19T00:00:00.000+0000'},0.5723333333333334,0.1884380952380953,2017-01-19
{'$date': '2016-10-20T00:00:00.000+0000'},0.490027958152958,0.1006006493506493,2016-10-20
{'$date': '2016-06-09T00:00:00.000+0000'},0.4094114457458014,0.09498914429129152,2016-06-09
{'$date': '2016-05-22T00:00:00.000+0000'},0.5547859993230361,0.1024473126324978,2016-05-22
{'$date': '2016-11-21T00:00:00.000+0000'},0.4235691797380109,0.09399561477483556,2016-11-21
{'$date': '2016-10-14T07:00:00.000+0000'},0.3967797017797018,0.06115351510088351,2016-10-14
{'$date': '2016-09-16T00:00:00.000+0000'},0.4011363636363638,0.03522727272727275,2016-09-16
{'$date': '2016-09-19T00:00:00.000+0000'},0.461,0.0495,2016-09-19
{'$date': '2016-12-05T00:00:00.000+0000'},0.4268298059964727,0.0001322751322751411,2016-12-05
{'$date': '2016-09-13T00:00:00.000+0000'},0.4905798990281747,0.0188453500522466,2016-09-13
{'$date': '2016-05-04T00:00:00.000+0000'},0.4102234753550543,0.1883886800334169,2016-05-04
{'$date': '2016-08-10T00:00:00.000+0000'},0.3339556277056277,0.03424479166666667,2016-08-10
{'$date': '2016-11-17T00:00:00.000+0000'},0.5271783407848982,0.0537704918032787,2016-11-17
{'$date': '2017-01-20T00:00:00.000+0000'},0.5356060606060606,0.163053613053613,2017-01-20
{'$date': '2016-10-11T00:00:00.000+0000'},0.4244444444444445,0.2833333333333334,2016-10-11
{'$date': '2016-09-01T00:00:00.000+0000'},0.4539591155970466,0.1965759814897746,2016-09-01
{'$date': '2016-10-05T00:00:00.000+0000'},0.5438202370020551,0.2039756329529057,2016-10-05
{'$date': '2016-09-27T00:00:00.000+0000'},0.4466183574879227,0.1576526130873957,2016-09-27
{'$date': '2016-11-16T00:00:00.000+0000'},0.4711309523809525,0.2004133597883598,2016-11-16
{'$date': '2016-12-18T00:00:00.000+0000'},0.4079868849099618,0.1493839493839494,2016-12-18
{'$date': '2016-10-24T00:00:00.000+0000'},0.4276913875598087,0.1880881180223286,2016-10-24
{'$date': '2017-01-23T00:00:00.000+0000'},0.473819997207094,0.1488357073034492,2017-01-23
{'$date': '2016-10-20T00:00:00.000+0000'},0.4671717171717172,0.2396464646464646,2016-10-20
{'$date': '2016-11-02T00:00:00.000+0000'},0.451403743315508,0.1225044563279857,2016-11-02
{'$date': '2017-01-08T00:00:00.000+0000'},0.3902116402116402,0.08615921115921114,2017-01-08
{'$date': '2016-09-26T00:00:00.000+0000'},0.478780487804878,0.04871951219512194,2016-09-26
{'$date': '2017-01-10T00:00:00.000+0000'},0.5091666666666668,0.2633333333333333,2017-01-10
{'$date': '2016-12-21T00:00:00.000+0000'},0.5049242424242424,0.2727272727272727,2016-12-21
{'$date': '2016-12-19T00:00:00.000+0000'},0.3892161542161542,0.0764968364968365,2016-12-19
{'$date': '2016-11-24T00:00:00.000+0000'},0.5221497441951987,0.1435724124360488,2016-11-24
{'$date': '2016-10-07T00:00:00.000+0000'},0.457183908045977,0.07567920585161965,2016-10-07
{'$date': '2017-02-24T06:42:58.000+0000'},0.343412910618793,0.08177807486631015,2017-02-24
