publish_date,sentiment_subjectivity,sentiment_polarity,Date,Open,High,Low,Close,Volume
{'$date': '2016-04-20T00:00:00.000+0000'},0.4623941798941799,0.1317736892736893,2016-04-20,758.0,758.13,750.01,752.67,1525591.0
{'$date': '2016-02-12T00:00:00.000+0000'},0.5162645120031484,0.1708989243080153,2016-02-12,690.26,693.75,678.6,682.4,2129831.0
{'$date': '2016-03-17T00:00:00.000+0000'},0.3609553872053872,0.01356902356902357,2016-03-17,736.45,743.07,736.0,737.78,1856800.0
{'$date': '2016-05-12T23:42:16.000+0000'},0.5884018759018758,0.15946969696969698,2016-05-12,717.06,719.25,709.0,713.31,1360732.0
{'$date': '2016-06-17T09:15:00.000+0000'},0.4627828678763257,0.1522950630193621,2016-06-17,708.65,708.82,688.45,691.72,3402357.0
{'$date': '2016-04-27T00:00:00.000+0000'},0.5279639936782794,0.1776802033944891,2016-04-27,707.29,708.98,692.37,705.84,3086722.0
{'$date': '2016-06-24T05:55:00.000+0000'},0.5009848484848486,0.1935858585858586,2016-06-24,675.17,689.4,673.45,675.22,4449022.0
{'$date': '2016-05-20T00:00:00.000+0000'},0.4655426444900129,0.05941451640464801,2016-05-20,701.62,714.58,700.52,709.74,1816027.0
{'$date': '2016-05-20T00:00:00.000+0000'},0.3905505952380952,0.2367931547619047,2016-05-20,701.62,714.58,700.52,709.74,1816027.0
{'$date': '2016-06-29T00:00:00.000+0000'},0.595,0.1626666666666667,2016-06-29,683.0,687.43,681.41,684.11,1932561.0
{'$date': '2016-06-29T00:00:00.000+0000'},0.5265770562770562,0.1055860930735931,2016-06-29,683.0,687.43,681.41,684.11,1932561.0
{'$date': '2016-07-12T00:00:00.000+0000'},0.5456709956709958,0.07229437229437229,2016-07-12,719.12,722.94,715.91,720.64,1336921.0
{'$date': '2016-07-21T00:00:00.000+0000'},0.4391727837380012,-0.02528232636928289,2016-07-21,740.36,741.69,735.83,738.63,1026306.0
{'$date': '2016-06-08T00:00:00.000+0000'},0.5321608946608948,0.2440927128427128,2016-06-08,723.96,728.57,720.58,728.28,1583701.0
{'$date': '2017-01-10T15:59:00.900+0000'},0.48891546416546394,0.1316590307840308,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T00:00:00.000+0000'},0.5091666666666668,0.2633333333333333,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T00:00:00.000+0000'},0.4773843081982616,0.1516326051209772,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T00:00:00.000+0000'},0.4773843081982616,0.1516326051209772,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T07:47:00.000+0000'},0.5132683982683981,0.2047737111373475,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T08:46:00.000+0000'},0.4337693707258923,0.1978809837505489,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T08:57:44.000+0000'},0.2681944444444444,0.028472222222222218,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T11:09:00.000+0000'},0.4761539927577662,0.1824716844999864,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T13:46:00.000+0000'},0.5104683195592283,0.1768588013717884,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T00:00:00.000+0000'},0.1638888888888889,0.041666666666666664,2017-01-10,807.86,809.13,803.51,804.79,1176780.0
