publish_date,sentiment_polarity,Date,sentiment_subjectivity,Open,High,Low,Close,Volume
{'$date': '2017-03-28T13:28:00.000+0000'},0.029920634920634917,2017-03-28,0.4376388888888889,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2017-03-28T00:00:00.000+0000'},0.05251763668430335,2017-03-28,0.4343430335097002,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2017-03-28T00:00:00.000+0000'},0.04868149580915539,2017-03-28,0.4165506125080593,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2017-03-28T00:00:00.000+0000'},0.06465067340067339,2017-03-28,0.4389688552188551,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2017-03-28T00:00:00.000+0000'},0.09596837242359632,2017-03-28,0.3648525230987917,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2017-03-28T00:00:00.000+0000'},0.0830162794951527,2017-03-28,0.4659898786659347,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2017-03-28T19:30:56.000+0000'},0.07049062049062049,2017-03-28,0.3990428090428089,820.41,825.99,814.03,820.92,1620542.0
{'$date': '2016-12-27T14:35:51.000+0000'},0.05632275132275132,2016-12-27,0.4204695767195767,790.68,797.86,787.66,791.55,789321.0
{'$date': '2016-12-27T16:39:44.000+0000'},0.08962259639585221,2016-12-27,0.3880269923874575,790.68,797.86,787.66,791.55,789321.0
{'$date': '2016-12-27T00:00:00.000+0000'},0.1388888888888889,2016-12-27,0.2,790.68,797.86,787.66,791.55,789321.0
{'$date': '2016-12-27T13:15:01.000+0000'},-0.06562500000000007,2016-12-27,0.4416666666666668,790.68,797.86,787.66,791.55,789321.0
{'$date': '2016-12-14T00:00:00.000+0000'},0.1642451298701299,2016-12-14,0.4387536075036076,797.4,804.0,794.01,797.07,1704150.0
{'$date': '2016-12-14T23:52:53.000+0000'},0.1392987012987013,2016-12-14,0.5238051948051948,797.4,804.0,794.01,797.07,1704150.0
{'$date': '2016-12-14T02:48:12.000+0000'},0.004320728291316519,2016-12-14,0.3504761904761904,797.4,804.0,794.01,797.07,1704150.0
{'$date': '2016-12-14T07:59:42.000+0000'},0.02677128427128427,2016-12-14,0.4658761724386725,797.4,804.0,794.01,797.07,1704150.0
{'$date': '2016-12-14T00:00:00.000+0000'},0.2226750588592694,2016-12-14,0.5531802992329308,797.4,804.0,794.01,797.07,1704150.0
{'$date': '2016-12-14T04:00:13.000+0000'},0.1388420862762968,2016-12-14,0.4218904268246374,797.4,804.0,794.01,797.07,1704150.0
{'$date': '2017-03-21T09:49:16.000+0000'},0.07308267863823419,2017-03-21,0.4561260755705201,851.4,853.5,829.02,830.46,2463484.0
{'$date': '2017-03-23T00:00:00.000+0000'},0.10826683501683501,2017-03-23,0.5031548821548822,821.0,822.57,812.26,817.58,3487056.0
{'$date': '2017-03-23T00:00:00.000+0000'},0.09547979797979793,2017-03-23,0.3074084595959596,821.0,822.57,812.26,817.58,3487056.0
{'$date': '2017-03-23T17:06:46.000+0000'},-0.03450191570881225,2017-03-23,0.3968582375478926,821.0,822.57,812.26,817.58,3487056.0
{'$date': '2017-01-10T00:00:00.000+0000'},0.0,2017-01-10,0.0,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T15:37:51.000+0000'},0.1281770833333334,2017-01-10,0.4472569444444445,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2017-01-10T00:00:00.000+0000'},0.1461251692179527,2017-01-10,0.4587721099061304,807.86,809.13,803.51,804.79,1176780.0
{'$date': '2016-12-06T00:00:00.000+0000'},0.08456439393939394,2016-12-06,0.2482007575757576,764.73,768.83,757.34,759.11,1690689.0
{'$date': '2016-12-06T11:47:07.000+0000'},0.09613041613041612,2016-12-06,0.4038309738309738,764.73,768.83,757.34,759.11,1690689.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.1243371212121212,2016-12-05,0.3557765151515151,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T16:59:00.000+0000'},0.07626411356674515,2016-12-05,0.4639163565479355,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T13:59:06.000+0000'},0.1189540911763134,2016-12-05,0.4592512425845759,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.1034303350970018,2016-12-05,0.4275661375661375,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.06819444444444445,2016-12-05,0.4393055555555555,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2017-03-24T00:00:00.000+0000'},0.08666105499438832,2017-03-24,0.4170229276895943,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2017-03-24T00:00:00.000+0000'},0.06406862745098041,2017-03-24,0.3425490196078431,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2017-03-24T00:00:00.000+0000'},0.06807291666666668,2017-03-24,0.3569270833333333,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2017-03-24T00:00:00.000+0000'},0.038781746031746035,2017-03-24,0.4125873015873016,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2017-03-24T17:40:05.000+0000'},0.0957757296466974,2017-03-24,0.3147721454173067,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2017-03-24T12:42:52.000+0000'},0.1304944444444445,2017-03-24,0.4627555555555556,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2017-03-24T07:30:47.000+0000'},0.1170577130528587,2017-03-24,0.4519147788565264,820.08,821.93,808.89,814.43,1981006.0
{'$date': '2016-12-12T00:00:00.000+0000'},0.0916331684188827,2016-12-12,0.4068729385693671,785.04,791.25,784.36,789.27,2104117.0
{'$date': '2016-12-12T14:53:31.000+0000'},0.1681006493506493,2016-12-12,0.5261201298701299,785.04,791.25,784.36,789.27,2104117.0
{'$date': '2016-12-12T19:15:36.000+0000'},0.2128205128205128,2016-12-12,0.4166666666666667,785.04,791.25,784.36,789.27,2104117.0
{'$date': '2016-12-12T12:19:35.000+0000'},0.06698738253616303,2016-12-12,0.4930841516207369,785.04,791.25,784.36,789.27,2104117.0
{'$date': '2016-12-13T14:27:00.000+0000'},0.0868154761904762,2016-12-13,0.4942857142857142,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2016-12-13T14:34:58.000+0000'},0.07874579124579123,2016-12-13,0.330155723905724,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2016-12-13T04:50:00.000+0000'},0.1177717652717653,2016-12-13,0.3891902267828193,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2016-12-13T00:00:00.000+0000'},0.1875,2016-12-13,0.4583333333333333,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2016-12-13T19:58:17.000+0000'},0.1613636363636363,2016-12-13,0.448989898989899,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2016-12-13T00:00:00.000+0000'},0.061538461538461535,2016-12-13,0.3064102564102564,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2016-12-13T12:50:34.000+0000'},0.06329816017316017,2016-12-13,0.3737418831168831,793.9,804.38,793.34,796.1,2145209.0
{'$date': '2017-01-13T00:00:00.000+0000'},0.01301075268817204,2017-01-13,0.2791551459293394,807.48,811.22,806.69,807.88,1099215.0
{'$date': '2017-03-02T00:00:00.000+0000'},0.11645635895635902,2017-03-02,0.5389937989937991,833.85,834.51,829.64,830.63,942476.0
{'$date': '2017-03-02T00:00:00.000+0000'},0.07813131313131312,2017-03-02,0.3317171717171717,833.85,834.51,829.64,830.63,942476.0
{'$date': '2017-03-02T06:46:33.000+0000'},0.1805097011422313,2017-03-02,0.5009414280498617,833.85,834.51,829.64,830.63,942476.0
{'$date': '2017-03-15T12:31:00.000+0000'},0.1559506261712144,2017-03-15,0.4561781029428087,847.59,848.63,840.77,847.2,1381474.0
{'$date': '2017-03-15T00:00:00.000+0000'},0.06160569105691058,2017-03-15,0.3591260162601626,847.59,848.63,840.77,847.2,1381474.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.06666666666666668,2017-01-23,0.4333333333333333,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.01,2017-01-23,0.3230000000000001,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T16:38:01.000+0000'},-0.08383838383838382,2017-01-23,0.4421436588103256,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.02236652236652236,2017-01-23,0.3462481962481962,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T14:13:31.000+0000'},0.07268398268398267,2017-01-23,0.3251082251082251,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.3203125,2017-01-23,0.49375,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2016-12-15T00:00:00.000+0000'},0.0857415417915418,2016-12-15,0.4555459207459207,797.34,803.0,792.92,797.85,1626499.0
{'$date': '2016-12-15T14:32:23.000+0000'},0.1516934046345811,2016-12-15,0.41871657754010705,797.34,803.0,792.92,797.85,1626499.0
{'$date': '2016-12-15T00:00:00.000+0000'},0.1705076272933416,2016-12-15,0.4660791589363018,797.34,803.0,792.92,797.85,1626499.0
{'$date': '2017-01-17T00:00:00.000+0000'},0.2105306762203314,2017-01-17,0.4927951933124347,807.08,807.14,800.37,804.61,1362115.0
{'$date': '2017-01-17T05:30:53.000+0000'},0.1383835833078257,2017-01-17,0.4719959697990001,807.08,807.14,800.37,804.61,1362115.0
{'$date': '2017-01-17T17:29:11.000+0000'},0.1073051948051948,2017-01-17,0.3893217893217894,807.08,807.14,800.37,804.61,1362115.0
{'$date': '2017-03-13T00:00:00.000+0000'},0.06799549549549551,2017-03-13,0.3689414414414414,844.0,848.68,843.25,845.54,1223647.0
{'$date': '2017-03-13T13:04:07.000+0000'},0.1130634071810542,2017-03-13,0.5554214413037941,844.0,848.68,843.25,845.54,1223647.0
{'$date': '2017-01-26T00:00:00.000+0000'},0.0017261904761904788,2017-01-26,0.3197619047619048,837.81,838.0,827.01,832.15,2973891.0
{'$date': '2017-01-26T00:00:00.000+0000'},0.1296614796614797,2017-01-26,0.34509282009282,837.81,838.0,827.01,832.15,2973891.0
{'$date': '2017-01-26T19:40:50.000+0000'},0.1224262360446571,2017-01-26,0.4956459330143539,837.81,838.0,827.01,832.15,2973891.0
{'$date': '2017-01-26T21:04:19.000+0000'},0.0,2017-01-26,0.0,837.81,838.0,827.01,832.15,2973891.0
{'$date': '2017-01-26T01:00:00.000+0000'},0.08388278388278389,2017-01-26,0.2631868131868133,837.81,838.0,827.01,832.15,2973891.0
{'$date': '2017-01-26T10:35:00.000+0000'},0.1430555555555555,2017-01-26,0.4262152777777778,837.81,838.0,827.01,832.15,2973891.0
{'$date': '2017-01-09T00:00:00.000+0000'},0.07455978705978704,2017-01-09,0.4014020514020514,806.4,809.97,802.83,806.65,1274645.0
{'$date': '2017-01-09T00:00:00.000+0000'},0.1439479905437352,2017-01-09,0.4713002364066194,806.4,809.97,802.83,806.65,1274645.0
{'$date': '2017-01-09T05:15:08.000+0000'},0.1987462006079028,2017-01-09,0.5183763931104358,806.4,809.97,802.83,806.65,1274645.0
{'$date': '2017-01-09T14:39:30.000+0000'},0.1627777777777778,2017-01-09,0.4679365079365079,806.4,809.97,802.83,806.65,1274645.0
{'$date': '2017-01-09T16:28:27.000+0000'},0.1108137358137358,2017-01-09,0.4137592137592138,806.4,809.97,802.83,806.65,1274645.0
{'$date': '2017-01-30T00:00:00.000+0000'},0.1226668250448738,2017-01-30,0.5039784605638264,814.66,815.84,799.8,802.32,3246573.0
{'$date': '2017-01-30T19:13:23.000+0000'},0.1636897259574251,2017-01-30,0.4770542019435824,814.66,815.84,799.8,802.32,3246573.0
{'$date': '2017-01-30T00:00:00.000+0000'},0.04375000000000001,2017-01-30,0.3673076923076923,814.66,815.84,799.8,802.32,3246573.0
{'$date': '2017-01-30T00:00:00.000+0000'},0.02419609079445146,2017-01-30,0.3343556716507536,814.66,815.84,799.8,802.32,3246573.0
{'$date': '2017-01-30T00:00:00.000+0000'},0.1405381306324702,2017-01-30,0.5272604753736828,814.66,815.84,799.8,802.32,3246573.0
{'$date': '2016-12-09T00:00:00.000+0000'},0.1801717171717172,2016-12-09,0.4877301587301587,780.0,789.43,779.02,789.29,1821914.0
{'$date': '2016-12-09T00:00:00.000+0000'},0.06463068181818182,2016-12-09,0.4336647727272726,780.0,789.43,779.02,789.29,1821914.0
{'$date': '2016-12-09T00:00:00.000+0000'},0.0,2016-12-09,0.0,780.0,789.43,779.02,789.29,1821914.0
{'$date': '2016-12-09T05:58:31.000+0000'},0.09695391414141412,2016-12-09,0.4824273989898989,780.0,789.43,779.02,789.29,1821914.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.054464285714285715,2017-01-27,0.24475732600732603,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.132583300537846,2017-01-27,0.4547912567230749,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.1401038688774538,2017-01-27,0.3993329521631408,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T07:56:04.000+0000'},-0.1083333333333333,2017-01-27,0.4111111111111111,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T12:13:35.000+0000'},0.1011749482401656,2017-01-27,0.4399124064341455,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2017-01-27T00:00:00.000+0000'},0.2376391621846167,2017-01-27,0.5266403209585028,834.71,841.95,820.44,823.31,2965771.0
{'$date': '2016-12-08T04:33:17.000+0000'},0.1194739808802309,2016-12-08,0.3741251803751804,772.48,778.18,767.23,776.42,1488059.0
{'$date': '2016-12-08T06:39:26.000+0000'},0.04263273491214668,2016-12-08,0.3612442704354469,772.48,778.18,767.23,776.42,1488059.0
{'$date': '2016-12-08T15:13:51.000+0000'},-0.0935897435897436,2016-12-08,0.5158119658119659,772.48,778.18,767.23,776.42,1488059.0
{'$date': '2016-12-08T13:52:30.000+0000'},0.1081175511731067,2016-12-08,0.4947016460905349,772.48,778.18,767.23,776.42,1488059.0
{'$date': '2016-12-23T00:00:00.000+0000'},0.1304315476190476,2016-12-23,0.500077947845805,790.9,792.74,787.28,789.91,623944.0
{'$date': '2016-12-23T00:00:00.000+0000'},0.1413261648745519,2016-12-23,0.4693727598566307,790.9,792.74,787.28,789.91,623944.0
{'$date': '2016-12-23T00:00:00.000+0000'},0.02242647058823529,2016-12-23,0.4018382352941176,790.9,792.74,787.28,789.91,623944.0
{'$date': '2016-12-23T09:15:01.000+0000'},-0.054838709677419384,2016-12-23,0.4333333333333335,790.9,792.74,787.28,789.91,623944.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.1388888888888889,2017-01-04,0.2,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T00:00:00.000+0000'},0.1600970017636685,2017-01-04,0.3816578483245149,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2017-01-04T23:40:09.000+0000'},-0.02359307359307359,2017-01-04,0.347348484848485,788.36,791.34,783.16,786.9,1072958.0
{'$date': '2016-12-02T00:00:00.000+0000'},0.1040858353116418,2016-12-02,0.4362881348042638,744.59,754.0,743.1,750.5,1452484.0
{'$date': '2016-12-02T00:00:00.000+0000'},0.1453400673400674,2016-12-02,0.4456368446368447,744.59,754.0,743.1,750.5,1452484.0
{'$date': '2017-03-27T00:00:00.000+0000'},0.09475560802833527,2017-03-27,0.3849822904368358,806.95,821.63,803.37,819.51,1894990.0
{'$date': '2017-03-27T00:00:00.000+0000'},0.02275641025641026,2017-03-27,0.3421385112063078,806.95,821.63,803.37,819.51,1894990.0
{'$date': '2017-03-27T00:00:00.000+0000'},0.07230820105820109,2017-03-27,0.36777116402116405,806.95,821.63,803.37,819.51,1894990.0
{'$date': '2017-03-27T15:14:14.000+0000'},0.1607800224466891,2017-03-27,0.4505647174694793,806.95,821.63,803.37,819.51,1894990.0
{'$date': '2016-12-20T00:00:00.000+0000'},0.1413862024500323,2016-12-20,0.4788652482269505,796.76,798.65,793.27,796.42,951014.0
{'$date': '2016-12-20T04:04:34.000+0000'},0.1646819818211571,2016-12-20,0.46165521191294395,796.76,798.65,793.27,796.42,951014.0
{'$date': '2016-12-20T00:00:00.000+0000'},0.1036363636363636,2016-12-20,0.2354545454545454,796.76,798.65,793.27,796.42,951014.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.1115353780523684,2017-02-28,0.4057118165006511,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.0008139430014430048,2017-02-28,0.3926181457431456,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.09981060606060606,2017-02-28,0.2833333333333334,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.1563101457929044,2017-02-28,0.5384977857391652,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.0664105339105339,2017-02-28,0.3666991341991341,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.2403977272727273,2017-02-28,0.4853733766233766,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T15:26:51.000+0000'},0.059567901234567885,2017-02-28,0.3852623456790124,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T12:45:49.000+0000'},0.06798390652557319,2017-02-28,0.4749118165784832,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T15:11:59.000+0000'},0.1366011303511304,2017-02-28,0.5304803992303992,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T16:06:30.000+0000'},0.04432400932400932,2017-02-28,0.3962937062937062,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T10:26:24.000+0000'},0.2095701298701299,2017-02-28,0.4466409090909091,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T16:06:33.000+0000'},0.058377896613190726,2017-02-28,0.3971822295351707,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T05:36:12.000+0000'},0.1324115646258504,2017-02-28,0.4595328798185942,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.05879928315412185,2017-02-28,0.3253405017921147,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T00:00:00.000+0000'},0.061822916666666665,2017-02-28,0.3123958333333333,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-02-28T06:24:11.000+0000'},0.009329004329004327,2017-02-28,0.2523593073593073,825.61,828.54,820.2,823.21,2260769.0
{'$date': '2017-01-05T17:01:37.000+0000'},0.09777268862090292,2017-01-05,0.5060180890538034,786.08,794.48,785.02,794.02,1335167.0
{'$date': '2017-01-05T06:47:57.000+0000'},0.1374289772727273,2017-01-05,0.3764001623376624,786.08,794.48,785.02,794.02,1335167.0
{'$date': '2016-12-29T00:00:00.000+0000'},0.1197169398062255,2016-12-29,0.3963377396413109,783.33,785.93,778.92,782.79,744272.0
{'$date': '2016-12-29T13:23:44.000+0000'},0.1194100091827364,2016-12-29,0.4988751147842057,783.33,785.93,778.92,782.79,744272.0
{'$date': '2016-12-29T00:00:00.000+0000'},0.1106060606060606,2016-12-29,0.4148989898989899,783.33,785.93,778.92,782.79,744272.0
{'$date': '2016-12-29T17:32:00.000+0000'},0.1060457687473816,2016-12-29,0.4887009495880464,783.33,785.93,778.92,782.79,744272.0
{'$date': '2016-12-30T00:00:00.000+0000'},0.01111111111111111,2016-12-30,0.3377899877899879,782.75,782.78,770.41,771.82,1769950.0
{'$date': '2016-12-30T00:00:00.000+0000'},0.03894426723374092,2016-12-30,0.3845139996455785,782.75,782.78,770.41,771.82,1769950.0
{'$date': '2017-03-20T05:56:54.000+0000'},0.1462499999999999,2017-03-20,0.4404910714285714,850.01,850.22,845.15,848.4,1231521.0
{'$date': '2017-03-20T16:22:41.000+0000'},0.1321560846560847,2017-03-20,0.4722751322751322,850.01,850.22,845.15,848.4,1231521.0
{'$date': '2017-01-11T09:23:53.000+0000'},0.07005766369047621,2017-01-11,0.5051748511904761,805.0,808.15,801.37,807.91,1065936.0
{'$date': '2017-01-11T00:00:00.000+0000'},0.11996296296296301,2017-01-11,0.3889259259259258,805.0,808.15,801.37,807.91,1065936.0
{'$date': '2017-01-11T13:18:00.000+0000'},0.022241379310344832,2017-01-11,0.4197126436781609,805.0,808.15,801.37,807.91,1065936.0
{'$date': '2017-01-11T16:51:48.000+0000'},0.1331326081326081,2017-01-11,0.4579152329152329,805.0,808.15,801.37,807.91,1065936.0
{'$date': '2017-01-11T00:00:00.000+0000'},0.10734679622977499,2017-01-11,0.4950057566546928,805.0,808.15,801.37,807.91,1065936.0
{'$date': '2017-01-12T15:40:36.000+0000'},0.1210529054279054,2017-01-12,0.5301656676656676,807.14,807.39,799.17,806.36,1353057.0
{'$date': '2017-01-12T18:06:00.000+0000'},0.00981134878193702,2017-01-12,0.2977644087938205,807.14,807.39,799.17,806.36,1353057.0
{'$date': '2017-01-12T00:00:00.000+0000'},0.1092171717171717,2017-01-12,0.4118912337662339,807.14,807.39,799.17,806.36,1353057.0
{'$date': '2017-01-12T00:00:00.000+0000'},0.1750325752191424,2017-01-12,0.5233505093579719,807.14,807.39,799.17,806.36,1353057.0
{'$date': '2017-01-12T07:38:02.000+0000'},-0.06120507399577167,2017-01-12,0.25509161381254397,807.14,807.39,799.17,806.36,1353057.0
{'$date': '2017-01-12T07:18:34.000+0000'},0.04706295477572073,2017-01-12,0.4510592244634797,807.14,807.39,799.17,806.36,1353057.0
{'$date': '2016-12-16T21:53:29.000+0000'},0.06607142857142857,2016-12-16,0.4815476190476191,800.4,800.86,790.29,790.8,2443796.0
{'$date': '2016-12-16T16:43:20.000+0000'},0.01630434782608696,2016-12-16,0.4778985507246377,800.4,800.86,790.29,790.8,2443796.0
{'$date': '2017-01-03T00:00:00.000+0000'},0.1874401913875598,2017-01-03,0.5041866028708133,778.81,789.63,775.8,786.14,1657268.0
{'$date': '2017-02-27T00:00:00.000+0000'},0.06021147771147772,2017-02-27,0.4539964314964314,824.55,830.5,824.0,829.28,1101466.0
{'$date': '2017-02-27T00:00:00.000+0000'},0.1909654581529582,2017-02-27,0.5665724707391372,824.55,830.5,824.0,829.28,1101466.0
{'$date': '2017-02-27T00:00:00.000+0000'},0.04036796536796537,2017-02-27,0.4279942279942281,824.55,830.5,824.0,829.28,1101466.0
{'$date': '2017-02-27T00:00:00.000+0000'},0.2131048387096774,2017-02-27,0.4051459293394777,824.55,830.5,824.0,829.28,1101466.0
{'$date': '2017-02-27T00:00:00.000+0000'},0.05354297693920335,2017-02-27,0.2610796645702306,824.55,830.5,824.0,829.28,1101466.0
{'$date': '2017-03-07T00:00:00.000+0000'},0.09628035008469793,2017-03-07,0.3795407491059665,827.4,833.41,826.52,831.91,1037630.0
{'$date': '2016-12-21T21:36:54.000+0000'},0.05005660048763497,2016-12-21,0.4321011842563567,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.1871553788401615,2016-12-21,0.5149471703819529,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.1003764351590439,2016-12-21,0.307422830792396,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.02403829966329965,2016-12-21,0.4524810606060605,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T09:45:11.000+0000'},0.1187335022700876,2016-12-21,0.4387419491078028,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.1198059360730593,2016-12-21,0.4020004348771472,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-21T00:00:00.000+0000'},0.061448306595365425,2016-12-21,0.4342884729649435,795.84,796.68,787.1,794.56,1211346.0
{'$date': '2016-12-19T05:53:37.000+0000'},0.2182958152958153,2016-12-19,0.4840786435786437,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T13:13:06.000+0000'},0.07340277777777776,2016-12-19,0.474019841269841,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2016-12-19T00:00:00.000+0000'},0.1796780303030303,2016-12-19,0.4429545454545454,790.22,797.66,786.27,794.2,1232087.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.1714442355889724,2017-01-19,0.5727600250626566,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.1181268731268731,2017-01-19,0.4617415917415917,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-25T16:20:17.000+0000'},0.08878996312329647,2017-01-25,0.5141996419218642,829.62,835.77,825.06,835.67,1627304.0
{'$date': '2017-01-25T00:00:00.000+0000'},-0.008306486794858892,2017-01-25,0.4202968220410081,829.62,835.77,825.06,835.67,1627304.0
{'$date': '2017-03-06T09:40:53.000+0000'},0.08823903396484042,2017-03-06,0.4490348182283667,826.95,828.88,822.4,827.78,1109037.0
{'$date': '2016-12-22T18:16:00.000+0000'},0.09236111111111113,2016-12-22,0.31875,792.36,793.32,788.58,791.26,972169.0
{'$date': '2016-12-22T15:24:26.000+0000'},0.156095145988763,2016-12-22,0.4358777747075618,792.36,793.32,788.58,791.26,972169.0
{'$date': '2016-12-22T00:00:00.000+0000'},0.17354651162790696,2016-12-22,0.5157622739018086,792.36,793.32,788.58,791.26,972169.0
{'$date': '2017-01-06T12:41:53.000+0000'},0.1937777777777778,2017-01-06,0.5042222222222223,795.26,807.9,792.2,806.15,1640170.0
{'$date': '2017-01-06T16:54:54.000+0000'},0.05136054421768707,2017-01-06,0.5338321995464852,795.26,807.9,792.2,806.15,1640170.0
{'$date': '2017-01-24T15:34:59.000+0000'},0.1481060606060606,2017-01-24,0.3742424242424242,822.3,825.9,817.82,823.87,1474010.0
{'$date': '2017-01-24T09:05:00.000+0000'},0.1941919191919192,2017-01-24,0.5600448933782266,822.3,825.9,817.82,823.87,1474010.0
